10,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
10,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
20,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
20,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
30,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
30,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
40,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
40,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
50,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
50,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
60,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
60,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
70,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
70,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
80,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
80,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
90,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
90,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
100,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
100,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
110,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
110,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
120,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
120,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
130,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
130,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
140,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
140,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
150,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
150,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
160,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
160,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
170,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
170,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
180,cZlXqWye06cOMXfwAAAD,N/A,0.00,-245.00,0
180,-tX7WPBVhnCSBh9tAAAF,N/A,0.00,-255.00,0
190,cZlXqWye06cOMXfwAAAD,0.00,0.00,-245.00,0
190,-tX7WPBVhnCSBh9tAAAF,0.00,0.00,-255.00,1
200,cZlXqWye06cOMXfwAAAD,1.00,3.75,-245.00,1
